,trailer_link,video_id,stats,viewCount,likeCount,dislikeCount,favoriteCount,commentCount,kind,etag,items,pageInfo.totalResults,pageInfo.resultsPerPage
69,https://www.youtube.com/watch?v=6JNIyuZJjdQ,6JNIyuZJjdQ,"{'viewCount': '269360', 'likeCount': '569', 'dislikeCount': '47', 'favoriteCount': '0', 'commentCount': '69'}",269360,569,47,0,69,,,,,
70,https://www.youtube.com/watch?v=TbZgLKjrdnA,TbZgLKjrdnA,"{'viewCount': '444089', 'likeCount': '1616', 'dislikeCount': '77', 'favoriteCount': '0', 'commentCount': '140'}",444089,1616,77,0,140,,,,,
71,https://www.youtube.com/watch?v=-JZ_moituIo,-JZ_moituIo,"{'viewCount': '1864820', 'likeCount': '6539', 'dislikeCount': '299', 'favoriteCount': '0', 'commentCount': '140'}",1864820,6539,299,0,140,,,,,
72,https://www.youtube.com/watch?v=zlDJN0Iqpno,zlDJN0Iqpno,"{'viewCount': '48494', 'likeCount': '209', 'dislikeCount': '3', 'favoriteCount': '0', 'commentCount': '57'}",48494,209,3,0,57,,,,,
73,https://www.youtube.com/watch?v=Y8U-E8hldHk,Y8U-E8hldHk,"{'viewCount': '35244', 'likeCount': '481', 'dislikeCount': '14', 'favoriteCount': '0', 'commentCount': '36'}",35244,481,14,0,36,,,,,
74,https://www.youtube.com/watch?v=42Eh3xZvLcY,42Eh3xZvLcY,"{'viewCount': '46531', 'likeCount': '329', 'dislikeCount': '19', 'favoriteCount': '0', 'commentCount': '16'}",46531,329,19,0,16,,,,,
75,https://www.youtube.com/watch?v=PeuYtkXv3TQ,PeuYtkXv3TQ,"{'viewCount': '67471', 'likeCount': '1743', 'dislikeCount': '207', 'favoriteCount': '0', 'commentCount': '114'}",67471,1743,207,0,114,,,,,
76,https://www.youtube.com/watch?v=5Z1hPH3b5RA,5Z1hPH3b5RA,"{'viewCount': '19700', 'likeCount': '109', 'dislikeCount': '1', 'favoriteCount': '0', 'commentCount': '14'}",19700,109,1,0,14,,,,,
77,https://www.youtube.com/watch?v=1htuNZp82Ck,1htuNZp82Ck,"{'viewCount': '3750469', 'likeCount': '18812', 'dislikeCount': '347', 'favoriteCount': '0', 'commentCount': '1016'}",3750469,18812,347,0,1016,,,,,
78,https://www.youtube.com/watch?v=D40uHmTSPew,D40uHmTSPew,"{'viewCount': '3558605', 'likeCount': '49107', 'dislikeCount': '1937', 'favoriteCount': '0', 'commentCount': '4356'}",3558605,49107,1937,0,4356,,,,,
79,https://www.youtube.com/watch?v=SATynwll5fE,SATynwll5fE,"{'viewCount': '399889', 'likeCount': '537', 'dislikeCount': '51', 'favoriteCount': '0', 'commentCount': '90'}",399889,537,51,0,90,,,,,
80,https://www.youtube.com/watch?v=Q-NaUTg45I4,Q-NaUTg45I4,"{'kind': 'youtube#videoListResponse', 'etag': 'YIUPVpqNjppyCWOZfL-19bLb7uk', 'items': [], 'pageInfo': {'totalResults': 0, 'resultsPerPage': 0}}",,,,,,youtube#videoListResponse,YIUPVpqNjppyCWOZfL-19bLb7uk,[],0.0,0.0
81,https://www.youtube.com/watch?v=EDzuG0UrQ2g,EDzuG0UrQ2g,"{'viewCount': '10060733', 'likeCount': '11667', 'dislikeCount': '3719', 'favoriteCount': '0', 'commentCount': '1237'}",10060733,11667,3719,0,1237,,,,,
82,https://www.youtube.com/watch?v=THaIZihZoMg,THaIZihZoMg,"{'viewCount': '1235611', 'likeCount': '29787', 'dislikeCount': '201', 'favoriteCount': '0', 'commentCount': '1061'}",1235611,29787,201,0,1061,,,,,
83,https://www.youtube.com/watch?v=EW3Em8VT3CM,EW3Em8VT3CM,"{'viewCount': '79819', 'likeCount': '1842', 'dislikeCount': '63', 'favoriteCount': '0', 'commentCount': '94'}",79819,1842,63,0,94,,,,,
84,https://www.youtube.com/watch?v=urO4uA6Bf9M,urO4uA6Bf9M,"{'viewCount': '36768', 'favoriteCount': '0'}",36768,,,0,,,,,,
85,https://www.youtube.com/watch?v=eiErZ1UD_PY,eiErZ1UD_PY,"{'viewCount': '151485', 'likeCount': '635', 'dislikeCount': '13', 'favoriteCount': '0', 'commentCount': '32'}",151485,635,13,0,32,,,,,
86,https://www.youtube.com/watch?v=x7pfDvCcrYY,x7pfDvCcrYY,"{'viewCount': '10082', 'likeCount': '112', 'dislikeCount': '20', 'favoriteCount': '0', 'commentCount': '6'}",10082,112,20,0,6,,,,,
87,https://www.youtube.com/watch?v=cyGC0W8PfoI,cyGC0W8PfoI,"{'viewCount': '98562', 'likeCount': '339', 'dislikeCount': '19', 'favoriteCount': '0', 'commentCount': '14'}",98562,339,19,0,14,,,,,
88,https://www.youtube.com/watch?v=0dnOJnJVjyk,0dnOJnJVjyk,"{'viewCount': '275105', 'likeCount': '1455', 'dislikeCount': '49', 'favoriteCount': '0', 'commentCount': '72'}",275105,1455,49,0,72,,,,,
89,https://www.youtube.com/watch?v=8LYIcXs4HV0,8LYIcXs4HV0,"{'viewCount': '11973', 'likeCount': '53', 'dislikeCount': '1', 'favoriteCount': '0', 'commentCount': '1'}",11973,53,1,0,1,,,,,
90,https://www.youtube.com/watch?v=vUTw5dQAlSY,vUTw5dQAlSY,"{'viewCount': '205', 'likeCount': '3', 'dislikeCount': '0', 'favoriteCount': '0', 'commentCount': '0'}",205,3,0,0,0,,,,,
91,https://www.youtube.com/watch?v=BGyieGVn4P4,BGyieGVn4P4,"{'viewCount': '11240838', 'likeCount': '48144', 'dislikeCount': '857', 'favoriteCount': '0', 'commentCount': '2014'}",11240838,48144,857,0,2014,,,,,
92,https://www.youtube.com/watch?v=oUXUm6he2-s,oUXUm6he2-s,"{'viewCount': '1005413', 'likeCount': '2838', 'dislikeCount': '181', 'favoriteCount': '0', 'commentCount': '239'}",1005413,2838,181,0,239,,,,,
93,https://www.youtube.com/watch?v=pgRnm9T9Ssg,pgRnm9T9Ssg,"{'viewCount': '50150', 'likeCount': '303', 'dislikeCount': '48', 'favoriteCount': '0', 'commentCount': '5'}",50150,303,48,0,5,,,,,
94,https://www.youtube.com/watch?v=vNJ0szhjvdM,vNJ0szhjvdM,"{'viewCount': '407094', 'likeCount': '761', 'dislikeCount': '111', 'favoriteCount': '0', 'commentCount': '119'}",407094,761,111,0,119,,,,,
95,https://www.youtube.com/watch?v=z_oEkOdIXdo,z_oEkOdIXdo,"{'viewCount': '319856', 'likeCount': '3923', 'dislikeCount': '267', 'favoriteCount': '0', 'commentCount': '285'}",319856,3923,267,0,285,,,,,
96,https://www.youtube.com/watch?v=DLGrXGEMOSo,DLGrXGEMOSo,"{'viewCount': '774296', 'likeCount': '2970', 'dislikeCount': '103', 'favoriteCount': '0', 'commentCount': '330'}",774296,2970,103,0,330,,,,,
97,https://www.youtube.com/watch?v=KtlP12MaeuA,KtlP12MaeuA,"{'kind': 'youtube#videoListResponse', 'etag': 'YIUPVpqNjppyCWOZfL-19bLb7uk', 'items': [], 'pageInfo': {'totalResults': 0, 'resultsPerPage': 0}}",,,,,,youtube#videoListResponse,YIUPVpqNjppyCWOZfL-19bLb7uk,[],0.0,0.0
98,https://www.youtube.com/watch?v=gZzr4m8BKd8,gZzr4m8BKd8,"{'viewCount': '43976', 'likeCount': '141', 'dislikeCount': '6', 'favoriteCount': '0', 'commentCount': '25'}",43976,141,6,0,25,,,,,
99,https://www.youtube.com/watch?v=LHFDWd8VMkM,LHFDWd8VMkM,"{'viewCount': '30385', 'likeCount': '51', 'dislikeCount': '3', 'favoriteCount': '0', 'commentCount': '2'}",30385,51,3,0,2,,,,,
100,https://www.youtube.com/watch?v=SIkRfCKd7Lc,SIkRfCKd7Lc,"{'viewCount': '875076', 'likeCount': '13839', 'dislikeCount': '162', 'favoriteCount': '0', 'commentCount': '439'}",875076,13839,162,0,439,,,,,
101,https://www.youtube.com/watch?v=lyUi4u541ro,lyUi4u541ro,"{'viewCount': '40748', 'likeCount': '53', 'dislikeCount': '10', 'favoriteCount': '0', 'commentCount': '10'}",40748,53,10,0,10,,,,,
102,https://www.youtube.com/watch?v=S5sie2k--zc,S5sie2k--zc,"{'viewCount': '265777', 'likeCount': '3019', 'dislikeCount': '40', 'favoriteCount': '0', 'commentCount': '123'}",265777,3019,40,0,123,,,,,
103,https://www.youtube.com/watch?v=Az7w_zh9S70,Az7w_zh9S70,"{'viewCount': '8359', 'likeCount': '34', 'dislikeCount': '1', 'favoriteCount': '0', 'commentCount': '1'}",8359,34,1,0,1,,,,,
104,https://www.youtube.com/watch?v=La-clCmfWGo,La-clCmfWGo,"{'viewCount': '3364112', 'likeCount': '19447', 'dislikeCount': '533', 'favoriteCount': '0', 'commentCount': '827'}",3364112,19447,533,0,827,,,,,
105,https://www.youtube.com/watch?v=cCP1zqmdGs0,cCP1zqmdGs0,"{'viewCount': '286253', 'likeCount': '4779', 'dislikeCount': '160', 'favoriteCount': '0', 'commentCount': '255'}",286253,4779,160,0,255,,,,,
106,https://www.youtube.com/watch?v=ZvMCbzrToAo,ZvMCbzrToAo,"{'viewCount': '2066835', 'likeCount': '14281', 'dislikeCount': '470', 'favoriteCount': '0', 'commentCount': '875'}",2066835,14281,470,0,875,,,,,
107,https://www.youtube.com/watch?v=t6ymYzKvhYc,t6ymYzKvhYc,"{'viewCount': '43117', 'likeCount': '236', 'dislikeCount': '18', 'favoriteCount': '0', 'commentCount': '52'}",43117,236,18,0,52,,,,,
108,https://www.youtube.com/watch?v=kmicB3J1emw,kmicB3J1emw,"{'viewCount': '8547408', 'likeCount': '13585', 'dislikeCount': '776', 'favoriteCount': '0', 'commentCount': '1059'}",8547408,13585,776,0,1059,,,,,
109,https://www.youtube.com/watch?v=a-phXZel83o,a-phXZel83o,"{'viewCount': '67276', 'likeCount': '207', 'dislikeCount': '22', 'favoriteCount': '0'}",67276,207,22,0,,,,,,
110,https://www.youtube.com/watch?v=klNwYddnV1s,klNwYddnV1s,"{'viewCount': '52960', 'likeCount': '359', 'dislikeCount': '10', 'favoriteCount': '0', 'commentCount': '30'}",52960,359,10,0,30,,,,,
111,https://www.youtube.com/watch?v=MNsav6alF3Q,MNsav6alF3Q,"{'viewCount': '53934', 'likeCount': '111', 'dislikeCount': '14', 'favoriteCount': '0', 'commentCount': '32'}",53934,111,14,0,32,,,,,
